id,text,label,category,source
MSG_B_00001,congratulations! you've been selected for a luxury vacation getaway. claim your prize now!,SCAM,Unclassified,Combined Dataset
MSG_B_00002,urgent: your account has been compromised. click here to reset your password immediately.,SCAM,Unclassified,Combined Dataset
MSG_B_00003,you've won a free iphone! claim your prize by clicking on this link now.,SCAM,Unclassified,Combined Dataset
MSG_B_00004,act now and receive a 50% discount on all purchases. limited time offer!,SCAM,Unclassified,Combined Dataset
MSG_B_00005,important notice: your subscription will expire soon. renew now to avoid service interruption.,SCAM,Unclassified,Combined Dataset
MSG_B_00006,congratulations! you've been selected as the winner of our monthly prize draw. claim your reward now!,SCAM,Unclassified,Combined Dataset
MSG_B_00007,"special offer: buy one, get one free on selected items. shop now!",SCAM,Unclassified,Combined Dataset
MSG_B_00008,don't miss out on this amazing opportunity! sign up today and get a free trial.,SCAM,Unclassified,Combined Dataset
MSG_B_00009,hurry! limited stock available. buy now before it's too late.,SCAM,Unclassified,Combined Dataset
MSG_B_00010,exclusive deal for our loyal customers: get 20% off your next purchase with code loyal20.,SCAM,Unclassified,Combined Dataset
MSG_B_00011,you've been chosen for a special cash prize! claim your winnings now.,SCAM,Unclassified,Combined Dataset
MSG_B_00012,attention: your account has been suspended. verify your details to avoid permanent closure.,SCAM,Unclassified,Combined Dataset
MSG_B_00013,get a free trial of our premium service for 30 days. sign up now!,SCAM,Unclassified,Combined Dataset
MSG_B_00014,huge discounts on electronics and gadgets. shop our sale now!,SCAM,Unclassified,Combined Dataset
MSG_B_00015,your package is waiting for delivery. click here to confirm your shipping address.,SCAM,Unclassified,Combined Dataset
MSG_B_00016,exclusive offer for you: win a brand new car! enter our giveaway today.,SCAM,Unclassified,Combined Dataset
MSG_B_00017,last chance to save big! don't miss out on our end-of-season sale.,SCAM,Unclassified,Combined Dataset
MSG_B_00018,unlock vip access to our members-only area. join now for exclusive benefits.,SCAM,Unclassified,Combined Dataset
MSG_B_00019,you're invited to participate in our survey and win exciting prizes!,SCAM,Unclassified,Combined Dataset
MSG_B_00020,act fast: limited-time offer on luxury watches. buy now and save!,SCAM,Unclassified,Combined Dataset
MSG_B_00021,congratulations! you've been selected to receive a free gift card worth currency_token 1000. claim now!,SCAM,Unclassified,Combined Dataset
MSG_B_00022,your entry has been confirmed for our sweepstakes. you could win a dream vacation!,SCAM,Unclassified,Combined Dataset
MSG_B_00023,urgent: your account has been flagged for suspicious activity. click the link to secure your account.,SCAM,Unclassified,Combined Dataset
MSG_B_00024,don't miss out on our flash sale! get up to 70% off on all products for a limited time.,SCAM,Unclassified,Combined Dataset
MSG_B_00025,you've won a trip for two to a tropical paradise! claim your prize by responding now.,SCAM,Unclassified,Combined Dataset
MSG_B_00026,our records indicate that you're eligible for a student loan forgiveness program. apply now!,SCAM,Unclassified,Combined Dataset
MSG_B_00027,exclusive offer: get 50% off your next purchase when you refer a friend. share the deal today!,SCAM,Unclassified,Combined Dataset
MSG_B_00028,act now and receive a free sample of our latest product. limited quantities available.,SCAM,Unclassified,Combined Dataset
MSG_B_00029,important notice: your subscription will auto-renew unless you cancel. manage your account settings now.,SCAM,Unclassified,Combined Dataset
MSG_B_00030,unlock premium features by upgrading to our vip membership. special discount available today only.,SCAM,Unclassified,Combined Dataset
MSG_B_00031,congratulations! you've been selected as our monthly vip winner. claim your exclusive prize now!,SCAM,Unclassified,Combined Dataset
MSG_B_00032,don't miss out on our secret sale! use code secret20 for an extra 20% off your purchase.,SCAM,Unclassified,Combined Dataset
MSG_B_00033,act fast: limited-time offer on luxury watches. grab yours now before they're gone!,SCAM,Unclassified,Combined Dataset
MSG_B_00034,get ready to be amazed! you've won a luxury cruise vacation for two. claim your spot today!,SCAM,Unclassified,Combined Dataset
MSG_B_00035,urgent: your account has been suspended due to suspicious activity. click to verify your identity.,SCAM,Unclassified,Combined Dataset
