id,text,label,category,source
MSG_A_00993,"txu imbalance daren , i wanted to check with you on the current status of the of txu pipeline imbalance for tenaska iv . i noticed on the july statement i just received that the imbalance was at 125 , 374 mmbtu . i am not sure if you have been told , but enron recently entered into a sale agreement with el paso to sale our interests in this plant by the end of september . talking with rick hill , he did not want to have a large imbalance liability with the pipeline at the end of september . do you think this imbalance will be significantly resolved by the end of the month ? you can call me at 3 - 7280 if you have any questions . thanks . james",SAFE,Unclassified,Combined Dataset
MSG_A_10040,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",SAFE,Unclassified,UCI SMS Collection
MSG_A_01808,"lng - europe darren , thanks for the lead . i ' ll give sam a call . - - - - - - - - - - - - - - - - - - - - - - forwarded by brad hitch / eu / enron on 08 / 03 / 2001 09 : 11 - - - - - - - - - - - - - - - - - - - - - - - - - - - eric gonzales @ ect 07 / 03 / 2001 20 : 15 to : brad hitch / eu / enron @ enron cc : daren j farmer / hou / ect @ ect subject : lng - europe please follow up . eric - - - - - - - - - - - - - - - - - - - - - - forwarded by eric gonzales / lon / ect on 07 / 03 / 2001 21 : 18 - - - - - - - - - - - - - - - - - - - - - - - - - - - daren j farmer 07 / 03 / 2001 19 : 54 to : eric gonzales / lon / ect @ ect cc : subject : lng - europe eric , i recieved a call from a guy with pacific interlink ( ? ) . he is looking to market lng in europe . since i have very little knowledge in this area , i didn ' t get much specific information . but , i told him i would find someone for him to talk with . his name is sam kovacevich . phone : 847 - 971 - 3369 . i would appreciate it if you would give sam a call . if you aren ' t the person he needs to talk to , please let me know . thanks . daren farmer texas desk - gas",SAFE,Unclassified,Combined Dataset
MSG_A_01608,we ' ve found a school for you !,SCAM,Unclassified,Combined Dataset
MSG_A_00930,"mtbe upsets mtbe plant is up and running . production for tuesday , may 23 , was in excess of 12 mb .",SAFE,Unclassified,Combined Dataset
MSG_A_04165,"re : oasis pipe line company just a note , that the assignment and assumption agreement does not need to be executed , but the amendments still need to be executed and returned to me . marlene hilliard - - - - - - - - - - - - - - - - - - - - - - forwarded by marlene hilliard / hou / ect on 09 / 05 / 2000 03 : 50 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - marlene hilliard 09 / 05 / 2000 01 : 37 pm to : daren j farmer / hou / ect @ ect cc : subject : re : oasis pipe line company daren , this is true . i did not learn of this until friday september 1 , 2000 . however , i still need to have the oasis contracts returned to me . please return them in interoffice mail . thanks so much . marlene d . hilliard - - - - - - - - - - - - - - - - - - - - - - forwarded by marlene hilliard / hou / ect on 09 / 05 / 2000 01 : 34 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - daren j farmer 09 / 05 / 2000 01 : 24 pm to : marlene hilliard / hou / ect @ ect cc : subject : re : oasis pipe line company marlene , after discussions with the desk , we have decided to keep the oasis contracts under ena . so , we don ' t need to sign the contracts you sent earlier . let me know if you have any questions . d marlene hilliard 08 / 31 / 2000 12 : 36 pm to : daren j farmer / hou / ect @ ect cc : subject : oasis pipe line company i need to know the status of these contracts i forwarded to you on august 23 , 2000 and august 25 , 2000 . marlene hilliard",SAFE,Unclassified,Combined Dataset
MSG_A_08034,"That's the trouble with classes that go well - you're due a dodgey one ��_ Expecting mine tomo! See you for recovery, same time, same place",SAFE,Unclassified,Combined Dataset
MSG_A_02961,"tri - c resources , governor bill daniel # 1 , liberty co . , tx , julie , cokinos / tri - c has elected to price their production for the month of february 2001 as follows : 4 , 000 / d , 97 % if / hsc all production in excess of 4 , 000 / d priced 97 % gas daily please correct the pricing for sitara ticket # 377169 accordingly . thank you , melissa - - - - - - - - - - - - - - - - - - - - - - forwarded by melissa graves / hou / ect on 01 / 29 / 2001 04 : 12 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : george weissman 01 / 29 / 2001 10 : 01 am to : melissa graves / hou / ect @ ect cc : susan smith / hou / ect @ ect , joanne harris / na / enron @ enron subject : tri - c resources , governor bill daniel # 1 , liberty co . , tx , melissa , chris cokinos called and for february , he wants to lock in 4 , 000 at first of the month index and the remainder at gas daily on the governor bill daniel # 1 contract . please have the sitara deal updated and notify chris via e - mail at ccokinos @ compuserve . com . thanks . george x 3 - 6992 - - - - - - - - - - - - - - - - - - - - - - forwarded by george weissman / hou / ect on 01 / 29 / 2001 09 : 37 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from : shawna flynn on 06 / 28 / 2000 01 : 42 pm sent by : becky tlucek to : jeffrey a austin / hou / ect @ ect , russell diamond / hou / ect @ ect , george weissman / hou / ect @ ect cc : subject : cokinos cokinos document attached per shawna flynn .",SAFE,Unclassified,Combined Dataset
MSG_A_01331,"panenergy marketing company because of a timing issue with client services , i have fixed deal 157288 , separating the carthage meter to a new ticket . that ticket is 229758 . the price for the carthage is suppose to be if hsc - . 06 . stacy : i will need feb pathed asap so volume mgmt can get the volumes moved . client services needs to get this invoice out today . this problem , among others with this exchange deal , is currently we have a massive a / r issue and we ' re trying to get this cleanup before end of month . if you have any questions , please feel free to call me .",SAFE,Unclassified,Combined Dataset
MSG_A_03479,"shell cogen changes fyi the shell cogen ticket is at 105 , 000 dth for nov . same day for the first , shell took 5 m off of 1581 and added 5 m to 1060 . please give me a call if you have any questions . mary",SAFE,Unclassified,Combined Dataset
